,country,year,population
0,Afghanistan,2024,42647492
1,Afghanistan,2023,41454761
2,Albania,2024,2791765
3,Albania,2023,2811655
4,Algeria,2024,46814308
5,Algeria,2023,46164219
6,American Samoa,2024,46765
7,American Samoa,2023,47521
8,Angola,2024,37885849
9,Angola,2023,36749906
10,Antigua and Barbuda,2024,93772
11,Antigua and Barbuda,2023,93316
12,Argentina,2024,45696159
13,Argentina,2023,45538401
14,Armenia,2024,2973840
15,Armenia,2023,2943393
16,Aruba,2024,108066
17,Aruba,2023,107939
18,Australia,2024,26713205
19,Australia,2023,26451124
20,Austria,2024,9120813
21,Austria,2023,9130429
22,Azerbaijan,2024,10336577
23,Azerbaijan,2023,10318207
24,Bahamas,2024,401283
25,Bahamas,2023,399440
26,Bahrain,2024,1607049
27,Bahrain,2023,1569666
28,Bangladesh,2024,173562364
29,Bangladesh,2023,171466990
30,Barbados,2024,282467
31,Barbados,2023,282336
32,Belarus,2024,9056696
33,Belarus,2023,9115680
34,Belgium,2024,11738763
35,Belgium,2023,11712893
36,Belize,2024,417072
37,Belize,2023,411106
38,Benin,2024,14462724
39,Benin,2023,14111034
40,Bermuda,2024,64636
41,Bermuda,2023,64698
42,Bhutan,2024,791524
43,Bhutan,2023,786385
44,Bolivia,2024,12413315
45,Bolivia,2023,12244159
46,Bosnia and Herzegovina,2024,3164253
47,Bosnia and Herzegovina,2023,3185073
48,Botswana,2024,2521139
49,Botswana,2023,2480244
50,Brazil,2024,211998573
51,Brazil,2023,211140729
52,British Virgin Islands,2024,39471
53,British Virgin Islands,2023,38985
54,Brunei,2024,462721
55,Brunei,2023,458949
56,Bulgaria,2024,6757689
57,Bulgaria,2023,6795803
58,Burkina Faso,2024,23548781
59,Burkina Faso,2023,23025776
60,Burundi,2024,14047786
61,Burundi,2023,13689450
62,Cambodia,2024,17638801
63,Cambodia,2023,17423880
64,Cameroon,2024,29123744
65,Cameroon,2023,28372687
66,Canada,2024,39742430
67,Canada,2023,39299105
68,Cayman Islands,2024,74457
69,Cayman Islands,2023,73038
70,Central African Republic,2024,5330690
71,Central African Republic,2023,5152421
72,Chad,2024,20299123
73,Chad,2023,19319064
74,Chile,2024,19764771
75,Chile,2023,19658835
76,China,2024,1419321278
77,China,2023,1422584933
78,Colombia,2024,52886363
79,Colombia,2023,52321152
80,Comoros,2024,866628
81,Comoros,2023,850387
82,Congo,2024,6332961
